subject_id_namespace	subject_id	collection_id_namespace	collection_id
cfde_id_namespace_id:BCDC	SW181105-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW181105-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW181116-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW181130-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW181130-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190115-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190115-04B	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190117-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190205-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190207-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190207-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190328-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190328-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190423-09A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190426-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190426-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190430-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190430-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190502-07A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190502-08A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190502-09A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190506-01A 	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190520-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190520-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190520-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190531-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190531-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190531-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190606-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190606-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190606-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190606-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190607-07A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190607-08A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190607-10A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190621-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190621-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW190627-01A	cfde_id_namespace_id:BCDC	dong_retro
