biosample_id_namespace	biosample_id	subject_id_namespace	subject_id
cfde_id_namespace_id:BCDC	SW180611-01A	cfde_id_namespace_id:BCDC	SW180611-01A
cfde_id_namespace_id:BCDC	SW180612-02A	cfde_id_namespace_id:BCDC	SW180612-02A
cfde_id_namespace_id:BCDC	SW180621-02A	cfde_id_namespace_id:BCDC	SW180621-02A
cfde_id_namespace_id:BCDC	SW180621-03A	cfde_id_namespace_id:BCDC	SW180621-03A
cfde_id_namespace_id:BCDC	SW180628-01A	cfde_id_namespace_id:BCDC	SW180628-01A
cfde_id_namespace_id:BCDC	SW180716-02A	cfde_id_namespace_id:BCDC	SW180716-02A
cfde_id_namespace_id:BCDC	SW180716-03A	cfde_id_namespace_id:BCDC	SW180716-03A
cfde_id_namespace_id:BCDC	SW180716-04A	cfde_id_namespace_id:BCDC	SW180716-04A
cfde_id_namespace_id:BCDC	SW180725-02A	cfde_id_namespace_id:BCDC	SW180725-02A
cfde_id_namespace_id:BCDC	SW180725-03A	cfde_id_namespace_id:BCDC	SW180725-03A
cfde_id_namespace_id:BCDC	SW180727-01A	cfde_id_namespace_id:BCDC	SW180727-01A
cfde_id_namespace_id:BCDC	SW180925-01A	cfde_id_namespace_id:BCDC	SW180925-01A
cfde_id_namespace_id:BCDC	SW180925-02A	cfde_id_namespace_id:BCDC	SW180925-02A
cfde_id_namespace_id:BCDC	SW180925-03A	cfde_id_namespace_id:BCDC	SW180925-03A
cfde_id_namespace_id:BCDC	SW180925-04A	cfde_id_namespace_id:BCDC	SW180925-04A
cfde_id_namespace_id:BCDC	SW180926-01A	cfde_id_namespace_id:BCDC	SW180926-01A
cfde_id_namespace_id:BCDC	SW180926-03A	cfde_id_namespace_id:BCDC	SW180926-03A
cfde_id_namespace_id:BCDC	SW180927-01A	cfde_id_namespace_id:BCDC	SW180927-01A
cfde_id_namespace_id:BCDC	SW181026-01A	cfde_id_namespace_id:BCDC	SW181026-01A
cfde_id_namespace_id:BCDC	SW181030-03A	cfde_id_namespace_id:BCDC	SW181030-03A
cfde_id_namespace_id:BCDC	SW181031-01A	cfde_id_namespace_id:BCDC	SW181031-01A
cfde_id_namespace_id:BCDC	SW181105-01A	cfde_id_namespace_id:BCDC	SW181105-01A
cfde_id_namespace_id:BCDC	SW181105-02A	cfde_id_namespace_id:BCDC	SW181105-02A
cfde_id_namespace_id:BCDC	SW181105-03A	cfde_id_namespace_id:BCDC	SW181105-03A
cfde_id_namespace_id:BCDC	SW181116-03A	cfde_id_namespace_id:BCDC	SW181116-03A
cfde_id_namespace_id:BCDC	SW181130-01A	cfde_id_namespace_id:BCDC	SW181130-01A
cfde_id_namespace_id:BCDC	SW181130-02A	cfde_id_namespace_id:BCDC	SW181130-02A
cfde_id_namespace_id:BCDC	SW190115-03A	cfde_id_namespace_id:BCDC	SW190115-03A
cfde_id_namespace_id:BCDC	SW190115-04B	cfde_id_namespace_id:BCDC	SW190115-04B
cfde_id_namespace_id:BCDC	SW190117-01A	cfde_id_namespace_id:BCDC	SW190117-01A
cfde_id_namespace_id:BCDC	SW190205-02A	cfde_id_namespace_id:BCDC	SW190205-02A
cfde_id_namespace_id:BCDC	SW190207-03A	cfde_id_namespace_id:BCDC	SW190207-03A
cfde_id_namespace_id:BCDC	SW190207-04A	cfde_id_namespace_id:BCDC	SW190207-04A
cfde_id_namespace_id:BCDC	SW190328-01A	cfde_id_namespace_id:BCDC	SW190328-01A
cfde_id_namespace_id:BCDC	SW190328-04A	cfde_id_namespace_id:BCDC	SW190328-04A
cfde_id_namespace_id:BCDC	SW190423-09A	cfde_id_namespace_id:BCDC	SW190423-09A
cfde_id_namespace_id:BCDC	SW190426-01A	cfde_id_namespace_id:BCDC	SW190426-01A
cfde_id_namespace_id:BCDC	SW190426-02A	cfde_id_namespace_id:BCDC	SW190426-02A
cfde_id_namespace_id:BCDC	SW190430-01A	cfde_id_namespace_id:BCDC	SW190430-01A
cfde_id_namespace_id:BCDC	SW190430-02A	cfde_id_namespace_id:BCDC	SW190430-02A
cfde_id_namespace_id:BCDC	SW190502-07A	cfde_id_namespace_id:BCDC	SW190502-07A
cfde_id_namespace_id:BCDC	SW190502-08A	cfde_id_namespace_id:BCDC	SW190502-08A
cfde_id_namespace_id:BCDC	SW190502-09A	cfde_id_namespace_id:BCDC	SW190502-09A
cfde_id_namespace_id:BCDC	SW190506-01A 	cfde_id_namespace_id:BCDC	SW190506-01A 
cfde_id_namespace_id:BCDC	SW190520-02A	cfde_id_namespace_id:BCDC	SW190520-02A
